"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority"
"257509";"Q";"de:01004:66223::2";"de:01004:66223";"Neumünster Voßgang";"54,049677";"10,021482";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257510";"S";"de:01004:66224";"de:01004:66224";"Neumünster Wakenitzstraße";"54,048803";"9,979169";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257511";"Q";"de:01004:66224::1";"de:01004:66224";"Neumünster Wakenitzstraße";"54,048803";"9,979169";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257512";"S";"de:01004:66225";"de:01004:66225";"Neumünster Waldorfschule";"54,112536";"9,983825";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257513";"Q";"de:01004:66225::1";"de:01004:66225";"Neumünster Waldorfschule";"54,112429";"9,983777";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257514";"Q";"de:01004:66225::2";"de:01004:66225";"Neumünster Waldorfschule";"54,112388";"9,983975";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257515";"S";"de:01004:66226";"de:01004:66226";"Neumünster Waldschlößchen";"54,108682";"9,992353";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257516";"Q";"de:01004:66226::1";"de:01004:66226";"Neumünster Waldschlößchen";"54,108258";"9,992072";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257517";"Q";"de:01004:66226::2";"de:01004:66226";"Neumünster Waldschlößchen";"54,10939";"9,992674";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257518";"S";"de:01004:66227";"de:01004:66227";"Neumünster Waldwiesenweg";"54,073095";"10,013732";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257519";"Q";"de:01004:66227::1";"de:01004:66227";"Neumünster Waldwiesenweg";"54,073095";"10,013732";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257520";"S";"de:01004:66228";"de:01004:66228";"Neumünster Wasbeker Straße";"54,070951";"9,973106";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257521";"Q";"de:01004:66228::1";"de:01004:66228";"Neumünster Wasbeker Straße";"54,070951";"9,973106";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257522";"S";"de:01004:66229";"de:01004:66229";"Neumünster Wasbeker Straße 240";"54,070112";"9,952529";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257523";"Q";"de:01004:66229::1";"de:01004:66229";"Neumünster Wasbeker Straße 240";"54,070112";"9,952529";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257524";"S";"de:01004:66230";"de:01004:66230";"Neumünster Wasbeker Straße 241";"54,070054";"9,952786";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257525";"Q";"de:01004:66230::1";"de:01004:66230";"Neumünster Wasbeker Straße 241";"54,070029";"9,952772";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257526";"S";"de:01004:66231";"de:01004:66231";"Neumünster Weberstraße";"54,065498";"9,953962";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257527";"Q";"de:01004:66231::1";"de:01004:66231";"Neumünster Weberstraße";"54,065584";"9,954195";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257528";"Q";"de:01004:66231::2";"de:01004:66231";"Neumünster Weberstraße";"54,065481";"9,953779";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257529";"S";"de:01004:66232";"de:01004:66232";"Neumünster Wernershagen";"54,061667";"9,941915";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257530";"Q";"de:01004:66232::1";"de:01004:66232";"Neumünster Wernershagen";"54,061576";"9,941698";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257531";"Q";"de:01004:66232::2";"de:01004:66232";"Neumünster Wernershagen";"54,061525";"9,9418";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257532";"S";"de:01004:66233";"de:01004:66233";"Neumünster Weserstraße";"54,048313";"9,9859";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257533";"Q";"de:01004:66233::1";"de:01004:66233";"Neumünster Weserstraße";"54,048253";"9,982248";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257534";"Q";"de:01004:66233::2";"de:01004:66233";"Neumünster Weserstraße";"54,048211";"9,985781";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257535";"S";"de:01004:66234";"de:01004:66234";"Neumünster Weserstraße/Krokamp";"54,047834";"9,985222";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257536";"Q";"de:01004:66234::1";"de:01004:66234";"Neumünster Weserstraße/Krokamp";"54,047834";"9,985222";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
