timestamp;area;sensor;value
01.02.2023 06:28:10;Marktplatz - Autos;count;7.0
01.02.2023 06:31:34;Marktplatz - Autos;count;7.0
01.02.2023 06:33:23;Marktplatz - Autos;count;8.0
01.02.2023 06:34:44;Marktplatz - Autos;count;6.0
01.02.2023 06:35:27;Marktplatz - Autos;count;5.0
01.02.2023 06:36:30;Marktplatz - Autos;count;5.0
01.02.2023 06:37:32;Marktplatz - Autos;count;5.0
01.02.2023 06:38:36;Marktplatz - Autos;count;6.0
01.02.2023 06:39:38;Marktplatz - Autos;count;5.0
01.02.2023 06:41:44;Marktplatz - Autos;count;5.0
01.02.2023 06:42:45;Marktplatz - Autos;count;7.0
01.02.2023 06:43:48;Marktplatz - Autos;count;7.0
01.02.2023 06:45:09;Marktplatz - Autos;count;7.0
01.02.2023 06:45:54;Marktplatz - Autos;count;7.0
01.02.2023 06:48:15;Marktplatz - Autos;count;7.0
01.02.2023 06:50:04;Marktplatz - Autos;count;7.0
01.02.2023 06:51:06;Marktplatz - Autos;count;5.0
01.02.2023 06:52:09;Marktplatz - Autos;count;4.0
01.02.2023 06:53:12;Marktplatz - Autos;count;4.0
01.02.2023 06:54:14;Marktplatz - Autos;count;4.0
01.02.2023 06:55:18;Marktplatz - Autos;count;3.0
01.02.2023 06:56:36;Marktplatz - Autos;count;3.0
01.02.2023 06:58:25;Marktplatz - Autos;count;3.0
01.02.2023 06:59:27;Marktplatz - Autos;count;4.0
01.02.2023 07:00:29;Marktplatz - Autos;count;4.0
01.02.2023 07:01:33;Marktplatz - Autos;count;4.0
01.02.2023 07:02:35;Marktplatz - Autos;count;4.0
01.02.2023 07:03:38;Marktplatz - Autos;count;6.0
01.02.2023 07:04:47;Marktplatz - Autos;count;6.0
01.02.2023 07:06:46;Marktplatz - Autos;count;6.0
01.02.2023 07:08:03;Marktplatz - Autos;count;5.0
01.02.2023 07:08:51;Marktplatz - Autos;count;7.0
01.02.2023 07:10:10;Marktplatz - Autos;count;10.0
01.02.2023 07:10:55;Marktplatz - Autos;count;12.0
01.02.2023 07:11:58;Marktplatz - Autos;count;14.0
01.02.2023 07:13:01;Marktplatz - Autos;count;14.0
01.02.2023 07:15:07;Marktplatz - Autos;count;15.0
01.02.2023 07:16:08;Marktplatz - Autos;count;19.0
01.02.2023 07:17:23;Marktplatz - Autos;count;18.0
01.02.2023 07:18:15;Marktplatz - Autos;count;15.0
01.02.2023 07:19:16;Marktplatz - Autos;count;14.0
01.02.2023 07:20:19;Marktplatz - Autos;count;11.0
01.02.2023 07:21:21;Marktplatz - Autos;count;12.0
01.02.2023 07:22:25;Marktplatz - Autos;count;12.0
01.02.2023 07:23:44;Marktplatz - Autos;count;11.0
01.02.2023 07:24:30;Marktplatz - Autos;count;11.0
01.02.2023 07:25:48;Marktplatz - Autos;count;10.0
01.02.2023 07:26:36;Marktplatz - Autos;count;10.0
01.02.2023 07:27:37;Marktplatz - Autos;count;10.0
01.02.2023 07:28:57;Marktplatz - Autos;count;13.0
01.02.2023 07:29:43;Marktplatz - Autos;count;12.0
01.02.2023 07:30:46;Marktplatz - Autos;count;12.0
01.02.2023 07:31:49;Marktplatz - Autos;count;12.0
01.02.2023 07:32:51;Marktplatz - Autos;count;17.0
01.02.2023 07:33:53;Marktplatz - Autos;count;18.0
01.02.2023 07:34:57;Marktplatz - Autos;count;18.0
01.02.2023 07:36:00;Marktplatz - Autos;count;20.0
01.02.2023 07:37:03;Marktplatz - Autos;count;20.0
01.02.2023 07:38:05;Marktplatz - Autos;count;21.0
01.02.2023 07:40:11;Marktplatz - Autos;count;22.0
01.02.2023 07:41:13;Marktplatz - Autos;count;18.0
01.02.2023 07:42:30;Marktplatz - Autos;count;17.0
01.02.2023 07:44:21;Marktplatz - Autos;count;16.0
01.02.2023 07:45:24;Marktplatz - Autos;count;18.0
01.02.2023 07:46:26;Marktplatz - Autos;count;19.0
01.02.2023 07:47:28;Marktplatz - Autos;count;19.0
01.02.2023 07:48:31;Marktplatz - Autos;count;20.0
01.02.2023 07:49:33;Marktplatz - Autos;count;30.0
01.02.2023 07:50:51;Marktplatz - Autos;count;30.0
01.02.2023 07:51:56;Marktplatz - Autos;count;33.0
01.02.2023 07:52:40;Marktplatz - Autos;count;37.0
01.02.2023 07:53:59;Marktplatz - Autos;count;37.0
01.02.2023 07:55:01;Marktplatz - Autos;count;36.0
01.02.2023 07:55:48;Marktplatz - Autos;count;36.0
01.02.2023 07:56:51;Marktplatz - Autos;count;34.0
01.02.2023 07:57:52;Marktplatz - Autos;count;31.0
01.02.2023 07:58:56;Marktplatz - Autos;count;32.0
01.02.2023 07:59:59;Marktplatz - Autos;count;31.0
01.02.2023 08:01:01;Marktplatz - Autos;count;32.0
01.02.2023 08:02:04;Marktplatz - Autos;count;31.0
01.02.2023 08:03:20;Marktplatz - Autos;count;32.0
01.02.2023 08:04:08;Marktplatz - Autos;count;32.0
01.02.2023 08:05:28;Marktplatz - Autos;count;32.0
01.02.2023 08:06:13;Marktplatz - Autos;count;26.0
01.02.2023 08:07:16;Marktplatz - Autos;count;27.0
01.02.2023 08:08:19;Marktplatz - Autos;count;30.0
01.02.2023 08:09:21;Marktplatz - Autos;count;31.0
01.02.2023 08:10:24;Marktplatz - Autos;count;33.0
01.02.2023 08:11:41;Marktplatz - Autos;count;34.0
01.02.2023 08:12:28;Marktplatz - Autos;count;34.0
01.02.2023 08:13:31;Marktplatz - Autos;count;38.0
01.02.2023 08:14:50;Marktplatz - Autos;count;46.0
01.02.2023 08:15:36;Marktplatz - Autos;count;47.0
01.02.2023 08:16:39;Marktplatz - Autos;count;48.0
01.02.2023 08:17:41;Marktplatz - Autos;count;45.0
01.02.2023 08:18:44;Marktplatz - Autos;count;47.0
01.02.2023 08:19:46;Marktplatz - Autos;count;47.0
01.02.2023 08:20:48;Marktplatz - Autos;count;47.0
01.02.2023 08:21:51;Marktplatz - Autos;count;43.0
01.02.2023 08:22:53;Marktplatz - Autos;count;43.0
01.02.2023 08:23:56;Marktplatz - Autos;count;44.0
01.02.2023 08:24:59;Marktplatz - Autos;count;43.0
01.02.2023 08:26:01;Marktplatz - Autos;count;42.0
01.02.2023 08:27:20;Marktplatz - Autos;count;41.0
01.02.2023 08:28:21;Marktplatz - Autos;count;40.0
01.02.2023 08:29:08;Marktplatz - Autos;count;40.0
01.02.2023 08:30:11;Marktplatz - Autos;count;41.0
01.02.2023 08:31:13;Marktplatz - Autos;count;41.0
01.02.2023 08:32:16;Marktplatz - Autos;count;43.0
01.02.2023 08:33:19;Marktplatz - Autos;count;43.0
01.02.2023 08:34:21;Marktplatz - Autos;count;51.0
01.02.2023 08:35:24;Marktplatz - Autos;count;57.0
01.02.2023 08:36:47;Marktplatz - Autos;count;59.0
01.02.2023 08:37:28;Marktplatz - Autos;count;59.0
01.02.2023 08:38:31;Marktplatz - Autos;count;59.0
01.02.2023 08:39:33;Marktplatz - Autos;count;59.0
01.02.2023 08:40:36;Marktplatz - Autos;count;61.0
01.02.2023 08:41:39;Marktplatz - Autos;count;62.0
01.02.2023 08:42:59;Marktplatz - Autos;count;61.0
01.02.2023 08:43:44;Marktplatz - Autos;count;62.0
01.02.2023 08:44:46;Marktplatz - Autos;count;60.0
01.02.2023 08:45:48;Marktplatz - Autos;count;60.0
01.02.2023 08:46:51;Marktplatz - Autos;count;60.0
01.02.2023 08:47:53;Marktplatz - Autos;count;59.0
01.02.2023 08:48:56;Marktplatz - Autos;count;58.0
01.02.2023 08:50:20;Marktplatz - Autos;count;57.0
01.02.2023 08:51:16;Marktplatz - Autos;count;54.0
01.02.2023 08:52:14;Marktplatz - Autos;count;55.0
01.02.2023 08:53:22;Marktplatz - Autos;count;61.0
01.02.2023 08:54:08;Marktplatz - Autos;count;61.0
01.02.2023 08:55:11;Marktplatz - Autos;count;61.0
01.02.2023 08:56:13;Marktplatz - Autos;count;65.0
01.02.2023 08:57:16;Marktplatz - Autos;count;69.0
